Sim_ID,Seed,Population,Nei_size,Random_links,Close_links,Dimensions,Boundary,Boundary_method,P_speaking,Mode,Far_from_entropy,One_group_size,Number_of_equal_groups,Zero_lenghts,SD,DI
88,1,129,25,0.05,16,1,0.1,constant,0.9,vaguely-speak,46.6,57,3,32.8,0.471,28.176
89,1,129,25,0.05,16,1,0.1,constant,1,openly-listen,48.3,56.7,3.04,32.4,0.477,28.634
90,1,129,25,0.05,16,1,0.1,constant,1,vaguely-speak,48.3,56.7,3.04,32.4,0.477,28.634
91,1,129,25,0.05,16,1,0.1,uniform,0.5,openly-listen,63,85.1,1.37,73,0.286,7.507
92,1,129,25,0.05,16,1,0.1,uniform,0.5,vaguely-speak,76.9,70.8,1.97,50.5,0.474,23.47
93,1,129,25,0.05,16,1,0.1,uniform,0.9,openly-listen,78.2,92.5,1.16,86.2,0.18,3.995
94,1,129,25,0.05,16,1,0.1,uniform,0.9,vaguely-speak,77.1,74.4,1.78,55.7,0.504,22.464
95,1,129,25,0.05,16,1,0.1,uniform,1,openly-listen,39.3,64.9,2.33,42.5,0.501,26.203
96,1,129,25,0.05,16,1,0.1,uniform,1,vaguely-speak,77,73.7,1.82,54.7,0.468,21.336
97,1,129,25,0.05,16,1,0.2,constant,0.5,openly-listen,92.4,96.5,1.06,93.9,0.213,2.701
98,1,129,25,0.05,16,1,0.2,constant,0.5,vaguely-speak,92.4,96.5,1.06,93.9,0.213,2.701
99,1,129,25,0.05,16,1,0.2,constant,0.9,openly-listen,76.9,72.5,1.88,52.9,0.407,19.203
100,1,129,25,0.05,16,1,0.2,constant,0.9,vaguely-speak,76.9,72.5,1.88,52.9,0.407,19.203
101,1,129,25,0.05,16,1,0.2,constant,1,openly-listen,76.9,72.5,1.88,52.9,0.426,20.169
102,1,129,25,0.05,16,1,0.2,constant,1,vaguely-speak,76.9,72.5,1.88,52.9,0.426,20.169
103,1,129,25,0.05,16,1,0.2,uniform,0.5,openly-listen,94.3,98.1,1.03,96.9,0.06,1.461
104,1,129,25,0.05,16,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
105,1,129,25,0.05,16,1,0.2,uniform,0.9,openly-listen,78.9,91.9,1.17,85.1,0.155,4.103
106,1,129,25,0.05,16,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
107,1,129,25,0.05,16,1,0.2,uniform,1,openly-listen,48,75.4,1.74,57.2,0.272,10.332
108,1,129,25,0.05,16,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0.001,0.039
109,1,129,25,0.05,16,1,0.3,constant,0.5,openly-listen,97.3,98.8,1.02,98.4,0.109,0.682
110,1,129,25,0.05,16,1,0.3,constant,0.5,vaguely-speak,97.3,98.8,1.02,98.4,0.109,0.682
111,1,129,25,0.05,16,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
112,1,129,25,0.05,16,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
113,1,129,25,0.05,16,1,0.3,constant,1,openly-listen,100,99.6,1,100,0.001,0.044
114,1,129,25,0.05,16,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0.001,0.044
115,1,129,25,0.05,16,1,0.3,uniform,0.5,openly-listen,94.5,98.1,1.03,96.9,0.081,1.609
116,1,129,25,0.05,16,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
117,1,129,25,0.05,16,1,0.3,uniform,0.9,openly-listen,42.4,67.5,2.16,45.9,0.277,11.772
118,1,129,25,0.05,16,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
119,1,129,25,0.05,16,1,0.3,uniform,1,openly-listen,48.7,69.9,2.02,49.2,0.249,9.83
120,1,129,25,0.05,16,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0.024
169,1,129,100,0.05,64,1,0.1,constant,0.5,openly-listen,50.5,57,3,32.8,0.454,26.34
170,1,129,100,0.05,64,1,0.1,constant,0.5,vaguely-speak,50.5,57,3,32.8,0.454,26.34
171,1,129,100,0.05,64,1,0.1,constant,0.9,openly-listen,54.6,57.7,2.93,33.6,0.469,27.706
172,1,129,100,0.05,64,1,0.1,constant,0.9,vaguely-speak,54.6,57.7,2.93,33.6,0.469,27.706
173,1,129,100,0.05,64,1,0.1,constant,1,openly-listen,49.3,56.3,3.08,32,0.465,27.557
174,1,129,100,0.05,64,1,0.1,constant,1,vaguely-speak,49.3,56.3,3.08,32,0.465,27.557
175,1,129,100,0.05,64,1,0.1,uniform,0.5,openly-listen,46.6,65.9,2.26,43.8,0.501,25.346
176,1,129,100,0.05,64,1,0.1,uniform,0.5,vaguely-speak,77,73.7,1.82,54.7,0.432,19.638
177,1,129,100,0.05,64,1,0.1,uniform,0.9,openly-listen,44.2,63.6,2.42,40.8,0.429,22.336
178,1,129,100,0.05,64,1,0.1,uniform,0.9,vaguely-speak,77,73,1.85,53.8,0.483,22.383
179,1,129,100,0.05,64,1,0.1,uniform,1,openly-listen,44,64,2.4,41.3,0.406,21.271
180,1,129,100,0.05,64,1,0.1,uniform,1,vaguely-speak,77,73,1.85,53.8,0.477,22.128
181,1,129,100,0.05,64,1,0.2,constant,0.5,openly-listen,77,73.3,1.83,54.2,0.47,21.61
182,1,129,100,0.05,64,1,0.2,constant,0.5,vaguely-speak,77,73.3,1.83,54.2,0.47,21.61
183,1,129,100,0.05,64,1,0.2,constant,0.9,openly-listen,77,73,1.85,53.8,0.463,21.458
184,1,129,100,0.05,64,1,0.2,constant,0.9,vaguely-speak,77,73,1.85,53.8,0.463,21.458
185,1,129,100,0.05,64,1,0.2,constant,1,openly-listen,77,73,1.85,53.8,0.458,21.227
186,1,129,100,0.05,64,1,0.2,constant,1,vaguely-speak,77,73,1.85,53.8,0.458,21.227
187,1,129,100,0.05,64,1,0.2,uniform,0.5,openly-listen,92.5,97.3,1.05,95.4,0.155,1.491
188,1,129,100,0.05,64,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
189,1,129,100,0.05,64,1,0.2,uniform,0.9,openly-listen,89.7,95.8,1.08,92.4,0.332,4.701
190,1,129,100,0.05,64,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
191,1,129,100,0.05,64,1,0.2,uniform,1,openly-listen,86.9,95,1.1,91,0.217,3.361
192,1,129,100,0.05,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0,0
193,1,129,100,0.05,64,1,0.3,constant,0.5,openly-listen,100,99.6,1,100,0,0
194,1,129,100,0.05,64,1,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0,0
195,1,129,100,0.05,64,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
196,1,129,100,0.05,64,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
197,1,129,100,0.05,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0,0
198,1,129,100,0.05,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0,0
199,1,129,100,0.05,64,1,0.3,uniform,0.5,openly-listen,81.4,92.7,1.15,86.6,0.208,4.295
200,1,129,100,0.05,64,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
201,1,129,100,0.05,64,1,0.3,uniform,0.9,openly-listen,79.6,91.9,1.17,85.2,0.138,2.821
202,1,129,100,0.05,64,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
203,1,129,100,0.05,64,1,0.3,uniform,1,openly-listen,80.1,91.2,1.19,83.8,0.146,3.14
204,1,129,100,0.05,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0
253,1,129,6.2,0.25,4,1,0.1,constant,0.5,openly-listen,9.8,37,6.91,13.8,0.465,32.039
254,1,129,6.2,0.25,4,1,0.1,constant,0.5,vaguely-speak,9.8,37,6.91,13.8,0.465,32.039
255,1,129,6.2,0.25,4,1,0.1,constant,0.9,openly-listen,16.4,45.9,4.58,21.2,0.476,30.946
256,1,129,6.2,0.25,4,1,0.1,constant,0.9,vaguely-speak,16.4,45.9,4.58,21.2,0.476,30.946
257,1,129,6.2,0.25,4,1,0.1,constant,1,openly-listen,17,45.8,4.59,21.2,0.477,31.05
258,1,129,6.2,0.25,4,1,0.1,constant,1,vaguely-speak,17,45.8,4.59,21.2,0.477,31.05
259,1,129,6.2,0.25,4,1,0.1,uniform,0.5,openly-listen,40.7,62.4,2.51,39.3,0.521,28.297
260,1,129,6.2,0.25,4,1,0.1,uniform,0.5,vaguely-speak,26.4,52.7,3.5,28,0.485,30.265
261,1,129,6.2,0.25,4,1,0.1,uniform,0.9,openly-listen,30,58.4,2.87,34.3,0.436,25.026
262,1,129,6.2,0.25,4,1,0.1,uniform,0.9,vaguely-speak,30.6,52.7,3.51,28,0.47,29.211
263,1,129,6.2,0.25,4,1,0.1,uniform,1,openly-listen,24.1,53.2,3.43,28.6,0.429,25.762
264,1,129,6.2,0.25,4,1,0.1,uniform,1,vaguely-speak,17.9,47.4,4.3,22.7,0.51,31.695
265,1,129,6.2,0.25,4,1,0.2,constant,0.5,openly-listen,49.2,70.2,2,49.7,0.453,20.891
266,1,129,6.2,0.25,4,1,0.2,constant,0.5,vaguely-speak,49.2,70.2,2,49.7,0.453,20.891
267,1,129,6.2,0.25,4,1,0.2,constant,0.9,openly-listen,69.9,87.5,1.29,77.2,0.344,9.009
268,1,129,6.2,0.25,4,1,0.2,constant,0.9,vaguely-speak,69.9,87.5,1.29,77.2,0.344,9.009
269,1,129,6.2,0.25,4,1,0.2,constant,1,openly-listen,68,86,1.34,74.5,0.366,10.33
270,1,129,6.2,0.25,4,1,0.2,constant,1,vaguely-speak,68,86,1.34,74.5,0.366,10.33
271,1,129,6.2,0.25,4,1,0.2,uniform,0.5,openly-listen,90.9,96.5,1.06,93.9,0.235,2.976
272,1,129,6.2,0.25,4,1,0.2,uniform,0.5,vaguely-speak,89.3,95.8,1.08,92.4,0.237,3.368
273,1,129,6.2,0.25,4,1,0.2,uniform,0.9,openly-listen,86.7,95.6,1.08,92.1,0.187,2.94
274,1,129,6.2,0.25,4,1,0.2,uniform,0.9,vaguely-speak,83.7,92.8,1.15,86.7,0.295,5.705
275,1,129,6.2,0.25,4,1,0.2,uniform,1,openly-listen,27.3,53.2,3.43,28.6,0.348,18.023
276,1,129,6.2,0.25,4,1,0.2,uniform,1,vaguely-speak,90.1,96.5,1.06,93.9,0.211,2.685
277,1,129,6.2,0.25,4,1,0.3,constant,0.5,openly-listen,83.6,93.5,1.13,88.1,0.269,4.897
278,1,129,6.2,0.25,4,1,0.3,constant,0.5,vaguely-speak,83.6,93.5,1.13,88.1,0.269,4.897
279,1,129,6.2,0.25,4,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
280,1,129,6.2,0.25,4,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
281,1,129,6.2,0.25,4,1,0.3,constant,1,openly-listen,86,94.3,1.12,89.6,0.247,4.202
282,1,129,6.2,0.25,4,1,0.3,constant,1,vaguely-speak,86,94.3,1.12,89.6,0.247,4.202
283,1,129,6.2,0.25,4,1,0.3,uniform,0.5,openly-listen,100,99.6,1,100,0,0
284,1,129,6.2,0.25,4,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
285,1,129,6.2,0.25,4,1,0.3,uniform,0.9,openly-listen,94.7,98.1,1.03,96.9,0.239,2.132
286,1,129,6.2,0.25,4,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
287,1,129,6.2,0.25,4,1,0.3,uniform,1,openly-listen,38.3,62.6,2.5,39.5,0.289,12.253
288,1,129,6.2,0.25,4,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0.001,0.037
337,1,129,25,0.25,16,1,0.1,constant,0.5,openly-listen,36.5,51.1,3.72,26.3,0.465,29.47
338,1,129,25,0.25,16,1,0.1,constant,0.5,vaguely-speak,36.5,51.1,3.72,26.3,0.465,29.47
339,1,129,25,0.25,16,1,0.1,constant,0.9,openly-listen,41.3,50,3.88,25.2,0.457,29.466
340,1,129,25,0.25,16,1,0.1,constant,0.9,vaguely-speak,41.3,50,3.88,25.2,0.457,29.466
341,1,129,25,0.25,16,1,0.1,constant,1,openly-listen,52.2,57.6,2.95,33.4,0.466,27.779
342,1,129,25,0.25,16,1,0.1,constant,1,vaguely-speak,52.2,57.6,2.95,33.4,0.466,27.779
343,1,129,25,0.25,16,1,0.1,uniform,0.5,openly-listen,51.7,65.7,2.27,43.5,0.48,25.2
344,1,129,25,0.25,16,1,0.1,uniform,0.5,vaguely-speak,64.1,67.9,2.14,46.4,0.465,23.469
345,1,129,25,0.25,16,1,0.1,uniform,0.9,openly-listen,44.6,65.5,2.29,43.2,0.455,23.529
346,1,129,25,0.25,16,1,0.1,uniform,0.9,vaguely-speak,77.2,75.1,1.75,56.9,0.496,21.603
347,1,129,25,0.25,16,1,0.1,uniform,1,openly-listen,39.5,64.9,2.33,42.5,0.401,20.969
348,1,129,25,0.25,16,1,0.1,uniform,1,vaguely-speak,77.2,75.1,1.75,56.9,0.463,20.162
349,1,129,25,0.25,16,1,0.2,constant,0.5,openly-listen,69.8,71,1.95,50.8,0.413,19.867
350,1,129,25,0.25,16,1,0.2,constant,0.5,vaguely-speak,69.8,71,1.95,50.8,0.413,19.867
351,1,129,25,0.25,16,1,0.2,constant,0.9,openly-listen,76.9,70.5,1.98,50.1,0.361,18.006
352,1,129,25,0.25,16,1,0.2,constant,0.9,vaguely-speak,76.9,70.5,1.98,50.1,0.361,18.006
353,1,129,25,0.25,16,1,0.2,constant,1,openly-listen,77,73,1.85,53.8,0.395,18.341
354,1,129,25,0.25,16,1,0.2,constant,1,vaguely-speak,77,73,1.85,53.8,0.395,18.341
355,1,129,25,0.25,16,1,0.2,uniform,0.5,openly-listen,83.1,93.5,1.13,88.1,0.4,7.255
356,1,129,25,0.25,16,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
357,1,129,25,0.25,16,1,0.2,uniform,0.9,openly-listen,87.3,95.7,1.08,92.4,0.175,2.471
358,1,129,25,0.25,16,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
359,1,129,25,0.25,16,1,0.2,uniform,1,openly-listen,71.4,89.6,1.23,81,0.413,9.675
360,1,129,25,0.25,16,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0,0
361,1,129,25,0.25,16,1,0.3,constant,0.5,openly-listen,100,99.6,1,100,0,0
362,1,129,25,0.25,16,1,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0,0
363,1,129,25,0.25,16,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
364,1,129,25,0.25,16,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
365,1,129,25,0.25,16,1,0.3,constant,1,openly-listen,100,99.6,1,100,0.001,0.025
366,1,129,25,0.25,16,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0.001,0.025
367,1,129,25,0.25,16,1,0.3,uniform,0.5,openly-listen,97.3,98.8,1.02,98.4,0.176,1.102
368,1,129,25,0.25,16,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
369,1,129,25,0.25,16,1,0.3,uniform,0.9,openly-listen,70.3,88.6,1.26,79.1,0.281,7.867
370,1,129,25,0.25,16,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
371,1,129,25,0.25,16,1,0.3,uniform,1,openly-listen,58.9,83.8,1.41,70.8,0.265,8.897
372,1,129,25,0.25,16,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0.024
421,1,129,100,0.25,64,1,0.1,constant,0.5,openly-listen,50.5,57,3,32.8,0.454,26.34
422,1,129,100,0.25,64,1,0.1,constant,0.5,vaguely-speak,50.5,57,3,32.8,0.454,26.34
423,1,129,100,0.25,64,1,0.1,constant,0.9,openly-listen,54.6,57.7,2.93,33.6,0.469,27.706
424,1,129,100,0.25,64,1,0.1,constant,0.9,vaguely-speak,54.6,57.7,2.93,33.6,0.469,27.706
425,1,129,100,0.25,64,1,0.1,constant,1,openly-listen,49.3,56.3,3.08,32,0.465,27.557
426,1,129,100,0.25,64,1,0.1,constant,1,vaguely-speak,49.3,56.3,3.08,32,0.465,27.557
427,1,129,100,0.25,64,1,0.1,uniform,0.5,openly-listen,46.6,65.9,2.26,43.8,0.501,25.346
428,1,129,100,0.25,64,1,0.1,uniform,0.5,vaguely-speak,77,73.7,1.82,54.7,0.432,19.638
429,1,129,100,0.25,64,1,0.1,uniform,0.9,openly-listen,44.2,63.6,2.42,40.8,0.429,22.336
430,1,129,100,0.25,64,1,0.1,uniform,0.9,vaguely-speak,77,73,1.85,53.8,0.483,22.383
431,1,129,100,0.25,64,1,0.1,uniform,1,openly-listen,44,64,2.4,41.3,0.406,21.271
432,1,129,100,0.25,64,1,0.1,uniform,1,vaguely-speak,77,73,1.85,53.8,0.477,22.128
433,1,129,100,0.25,64,1,0.2,constant,0.5,openly-listen,77,73.3,1.83,54.2,0.47,21.61
434,1,129,100,0.25,64,1,0.2,constant,0.5,vaguely-speak,77,73.3,1.83,54.2,0.47,21.61
435,1,129,100,0.25,64,1,0.2,constant,0.9,openly-listen,77,73,1.85,53.8,0.463,21.458
436,1,129,100,0.25,64,1,0.2,constant,0.9,vaguely-speak,77,73,1.85,53.8,0.463,21.458
437,1,129,100,0.25,64,1,0.2,constant,1,openly-listen,77,73,1.85,53.8,0.458,21.227
438,1,129,100,0.25,64,1,0.2,constant,1,vaguely-speak,77,73,1.85,53.8,0.458,21.227
439,1,129,100,0.25,64,1,0.2,uniform,0.5,openly-listen,92.5,97.3,1.05,95.4,0.155,1.491
440,1,129,100,0.25,64,1,0.2,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
441,1,129,100,0.25,64,1,0.2,uniform,0.9,openly-listen,89.7,95.8,1.08,92.4,0.332,4.701
442,1,129,100,0.25,64,1,0.2,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
443,1,129,100,0.25,64,1,0.2,uniform,1,openly-listen,86.9,95,1.1,91,0.217,3.361
444,1,129,100,0.25,64,1,0.2,uniform,1,vaguely-speak,100,99.6,1,100,0,0
445,1,129,100,0.25,64,1,0.3,constant,0.5,openly-listen,100,99.6,1,100,0,0
446,1,129,100,0.25,64,1,0.3,constant,0.5,vaguely-speak,100,99.6,1,100,0,0
447,1,129,100,0.25,64,1,0.3,constant,0.9,openly-listen,100,99.6,1,100,0,0
448,1,129,100,0.25,64,1,0.3,constant,0.9,vaguely-speak,100,99.6,1,100,0,0
449,1,129,100,0.25,64,1,0.3,constant,1,openly-listen,100,99.6,1,100,0,0
450,1,129,100,0.25,64,1,0.3,constant,1,vaguely-speak,100,99.6,1,100,0,0
451,1,129,100,0.25,64,1,0.3,uniform,0.5,openly-listen,81.4,92.7,1.15,86.6,0.208,4.295
452,1,129,100,0.25,64,1,0.3,uniform,0.5,vaguely-speak,100,99.6,1,100,0,0
453,1,129,100,0.25,64,1,0.3,uniform,0.9,openly-listen,79.6,91.9,1.17,85.2,0.138,2.821
454,1,129,100,0.25,64,1,0.3,uniform,0.9,vaguely-speak,100,99.6,1,100,0,0
455,1,129,100,0.25,64,1,0.3,uniform,1,openly-listen,80.1,91.2,1.19,83.8,0.146,3.14
456,1,129,100,0.25,64,1,0.3,uniform,1,vaguely-speak,100,99.6,1,100,0,0
505,1,257,3.1,0.05,4,1,0.1,constant,0.5,openly-listen,7.8,32.6,9.08,10.7,0.458,32.346
506,1,257,3.1,0.05,4,1,0.1,constant,0.5,vaguely-speak,7.8,32.6,9.08,10.7,0.458,32.346
507,1,257,3.1,0.05,4,1,0.1,constant,0.9,openly-listen,9,36,7.5,13,0.457,31.783
508,1,257,3.1,0.05,4,1,0.1,constant,0.9,vaguely-speak,9,36,7.5,13,0.457,31.783
509,1,257,3.1,0.05,4,1,0.1,constant,1,openly-listen,8.5,35.5,7.68,12.7,0.455,31.817
510,1,257,3.1,0.05,4,1,0.1,constant,1,vaguely-speak,8.5,35.5,7.68,12.7,0.455,31.817
511,1,257,3.1,0.05,4,1,0.1,uniform,0.5,openly-listen,34.2,68.1,2.14,46.5,0.56,26.489
512,1,257,3.1,0.05,4,1,0.1,uniform,0.5,vaguely-speak,11.7,45.1,4.83,20.4,0.504,31.804
513,1,257,3.1,0.05,4,1,0.1,uniform,0.9,openly-listen,25.4,57.9,2.95,33.7,0.517,27.942
514,1,257,3.1,0.05,4,1,0.1,uniform,0.9,vaguely-speak,13.5,45.1,4.82,20.4,0.482,31.791
515,1,257,3.1,0.05,4,1,0.1,uniform,1,openly-listen,10.9,44.8,4.9,20.1,0.495,31.537
516,1,257,3.1,0.05,4,1,0.1,uniform,1,vaguely-speak,10.9,40.3,6.01,16.3,0.453,30.941
517,1,257,3.1,0.05,4,1,0.2,constant,0.5,openly-listen,62.6,84.6,1.39,71.9,0.362,10.744
518,1,257,3.1,0.05,4,1,0.2,constant,0.5,vaguely-speak,62.6,84.6,1.39,71.9,0.362,10.744
519,1,257,3.1,0.05,4,1,0.2,constant,0.9,openly-listen,58.4,78,1.63,61.1,0.367,13.573
520,1,257,3.1,0.05,4,1,0.2,constant,0.9,vaguely-speak,58.4,78,1.63,61.1,0.367,13.573
521,1,257,3.1,0.05,4,1,0.2,constant,1,openly-listen,64.3,84.6,1.39,71.9,0.37,11.39
522,1,257,3.1,0.05,4,1,0.2,constant,1,vaguely-speak,64.3,84.6,1.39,71.9,0.37,11.39
523,1,257,3.1,0.05,4,1,0.2,uniform,0.5,openly-listen,63.1,79.5,1.57,63.4,0.195,5.98
524,1,257,3.1,0.05,4,1,0.2,uniform,0.5,vaguely-speak,85.2,93.7,1.13,88.2,0.282,5.13
525,1,257,3.1,0.05,4,1,0.2,uniform,0.9,openly-listen,22.6,49,4.1,24.1,0.344,20.487
526,1,257,3.1,0.05,4,1,0.2,uniform,0.9,vaguely-speak,90.8,96.7,1.06,93.9,0.22,2.841
527,1,257,3.1,0.05,4,1,0.2,uniform,1,openly-listen,21.3,40.6,5.92,16.6,0.309,20.384
528,1,257,3.1,0.05,4,1,0.2,uniform,1,vaguely-speak,83.5,93.7,1.14,88.1,0.258,4.952
529,1,257,3.1,0.05,4,1,0.3,constant,0.5,openly-listen,97,99,1.02,98.4,0.114,0.71
530,1,257,3.1,0.05,4,1,0.3,constant,0.5,vaguely-speak,97,99,1.02,98.4,0.114,0.71
531,1,257,3.1,0.05,4,1,0.3,constant,0.9,openly-listen,95.8,98.6,1.02,97.7,0.15,1.16
532,1,257,3.1,0.05,4,1,0.3,constant,0.9,vaguely-speak,95.8,98.6,1.02,97.7,0.15,1.16
533,1,257,3.1,0.05,4,1,0.3,constant,1,openly-listen,98.5,99.4,1.01,99.2,0.091,0.618
534,1,257,3.1,0.05,4,1,0.3,constant,1,vaguely-speak,98.5,99.4,1.01,99.2,0.091,0.618
535,1,257,3.1,0.05,4,1,0.3,uniform,0.5,openly-listen,75.3,89.2,1.25,79.9,0.15,3.931
