"BehaviorSpace results (NetLogo 6.3.0)"
"groupFormation_identityPaper_reducedModel.nlogo"
"Step4.3_IndID-hetPar_RS13"
"01/10/2023 11:07:18:834 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","Number_Of_Agents","HK_opinion_distribution?","Use_Present_Opinion?","Boundary_Distribution","Boundary_Mean","Boundary_STD","Conformity_Distribution","Conformity_Mean","Conformity_STD","Use_Identity?","Identity_Type","SPIRO_Distribution","SPIRO_Mean","SPIRO_STD","Identity_Levels","Minimum_SPIRO","Maximum_SPIRO","Proportion_Of_High_Covert_SPIRO","centroid_color?","N_centroids","killing_centroids?","avoid_seed_control?","updating","set-seed?","polar_repeats","Normalize_Distances?","Y-opinion","X-opinion","Number_Of_Opinion_Dimensions","model","max-ticks","Centroids_change","polarisation-each-n-steps","show_dice_rolls?","ESBG_furthest_out","[step]","precision diversity 3","precision extremness 3","precision ESBG_polarisation 3","precision mean [own-boundary] of turtles 3","precision standard-deviation [own-boundary] of turtles 3","precision mean [own-conformity] of turtles 3","precision standard-deviation [own-conformity] of turtles 3","SPIRO_count 0.05","SPIRO_count 0.15","SPIRO_count 0.25","SPIRO_count 0.35","SPIRO_count 0.45","SPIRO_count 0.55","SPIRO_count 0.65","SPIRO_count 0.75","SPIRO_count 0.85","SPIRO_count 0.95","Entropy_11","Fractal_dimension Fractals opinions_1800","Fractal_dimension_R2 Fractals opinions_1800"
"716","13","101","false","false","normal","0.1875","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.482","0.479","0.48","0.188","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"717","13","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.509","0.506","0.506","0.2","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"718","13","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.482","0.479","0.48","0.2","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"719","13","101","true","false","normal","0.2125","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.509","0.506","0.506","0.213","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"720","13","101","false","false","normal","0.2125","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.482","0.479","0.48","0.213","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"721","13","101","true","false","normal","0.225","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.509","0.506","0.506","0.225","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"722","13","101","false","false","normal","0.225","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.482","0.48","0.48","0.225","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"723","13","101","true","false","normal","0.2375","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.509","0.506","0.506","0.238","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"724","13","101","false","false","normal","0.2375","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.482","0.48","0.48","0.238","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"725","13","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.504","0.501","0.501","0.25","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"726","13","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.482","0.48","0.48","0.25","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"728","13","101","false","false","normal","0.2625","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.481","0.479","0.479","0.263","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"727","13","101","true","false","normal","0.2625","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.502","0.499","0.5","0.263","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"729","13","101","true","false","normal","0.275","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.501","0.498","0.499","0.275","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"730","13","101","false","false","normal","0.275","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.48","0.478","0.478","0.275","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"731","13","101","true","false","normal","0.2875","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.499","0.496","0.497","0.288","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"732","13","101","false","false","normal","0.2875","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.479","0.477","0.477","0.288","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"733","13","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.501","0.498","0.499","0.3","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"735","13","101","true","false","normal","0.3125","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.497","0.494","0.494","0.313","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"734","13","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.478","0.476","0.476","0.3","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"736","13","101","false","false","normal","0.3125","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.477","0.475","0.475","0.313","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"744","13","101","false","false","normal","0.3625","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","35","0","0.011","0","0.363","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"737","13","101","true","false","normal","0.325","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.496","0.493","0.494","0.325","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"746","13","101","false","false","normal","0.375","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","32","0","0.011","0","0.375","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"738","13","101","false","false","normal","0.325","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.476","0.473","0.474","0.325","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"739","13","101","true","false","normal","0.3375","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.496","0.493","0.494","0.338","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"748","13","101","false","false","normal","0.3875","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","21","0","0.003","0","0.388","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"740","13","101","false","false","normal","0.3375","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.476","0.473","0.474","0.338","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"749","13","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","22","0","0.007","0","0.4","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"750","13","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","19","0","0.011","0","0.4","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"741","13","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.496","0.493","0.494","0.35","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"743","13","101","true","false","normal","0.3625","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.494","0.491","0.491","0.363","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"742","13","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.473","0.471","0.471","0.35","0","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"745","13","101","true","false","normal","0.375","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.488","0.485","0.485","0.375","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"747","13","101","true","false","normal","0.3875","0","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.462","0.46","0.46","0.388","0","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"751","13","101","true","false","normal","0.1","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.529","0.511","0.469","0.097","0.024","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.432","0.013","0.105"
"752","13","101","false","false","normal","0.1","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.486","0.483","0.483","0.099","0.025","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"753","13","101","true","false","normal","0.1125","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.514","0.511","0.511","0.11","0.024","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"754","13","101","false","false","normal","0.1125","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.472","0.47","0.47","0.111","0.025","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"755","13","101","true","false","normal","0.125","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.518","0.515","0.515","0.122","0.024","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"756","13","101","false","false","normal","0.125","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.478","0.476","0.476","0.124","0.025","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"757","13","101","true","false","normal","0.1375","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.516","0.513","0.514","0.135","0.024","0.809","0.088","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"758","13","101","false","false","normal","0.1375","0.025","normal","0.8","0.1","true","individual","normal","0.275","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.483","0.481","0.481","0.136","0.025","0.794","0.089","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
