"BehaviorSpace results (NetLogo 6.3.0)"
"groupFormation_identityPaper_reducedModel.nlogo"
"Step4.3_IndID-hetPar_RS19"
"01/10/2023 11:53:09:380 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-5","5","-5","5"
"[run number]","RS","Number_Of_Agents","HK_opinion_distribution?","Use_Present_Opinion?","Boundary_Distribution","Boundary_Mean","Boundary_STD","Conformity_Distribution","Conformity_Mean","Conformity_STD","Use_Identity?","Identity_Type","SPIRO_Distribution","SPIRO_Mean","SPIRO_STD","Identity_Levels","Minimum_SPIRO","Maximum_SPIRO","Proportion_Of_High_Covert_SPIRO","centroid_color?","N_centroids","killing_centroids?","avoid_seed_control?","updating","set-seed?","polar_repeats","Normalize_Distances?","Y-opinion","X-opinion","Number_Of_Opinion_Dimensions","model","max-ticks","Centroids_change","polarisation-each-n-steps","show_dice_rolls?","ESBG_furthest_out","[step]","precision diversity 3","precision extremness 3","precision ESBG_polarisation 3","precision mean [own-boundary] of turtles 3","precision standard-deviation [own-boundary] of turtles 3","precision mean [own-conformity] of turtles 3","precision standard-deviation [own-conformity] of turtles 3","SPIRO_count 0.05","SPIRO_count 0.15","SPIRO_count 0.25","SPIRO_count 0.35","SPIRO_count 0.45","SPIRO_count 0.55","SPIRO_count 0.65","SPIRO_count 0.75","SPIRO_count 0.85","SPIRO_count 0.95","Entropy_11","Fractal_dimension Fractals opinions_1800","Fractal_dimension_R2 Fractals opinions_1800"
"12","19","101","false","false","normal","0.1625","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.611","0.607","0.608","0.163","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"14","19","101","false","false","normal","0.175","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.607","0.604","0.605","0.175","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"13","19","101","true","false","normal","0.175","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.504","0.502","0.501","0.175","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"5","19","101","true","false","normal","0.125","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.504","0.502","0.502","0.125","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"15","19","101","true","false","normal","0.1875","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.503","0.501","0.501","0.188","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"16","19","101","false","false","normal","0.1875","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.606","0.603","0.603","0.188","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"17","19","101","true","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.504","0.502","0.501","0.2","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"18","19","101","false","false","normal","0.2","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.605","0.602","0.602","0.2","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"19","19","101","true","false","normal","0.2125","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.503","0.501","0.501","0.213","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"20","19","101","false","false","normal","0.2125","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.605","0.602","0.602","0.213","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"21","19","101","true","false","normal","0.225","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.503","0.501","0.501","0.225","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"23","19","101","true","false","normal","0.2375","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.504","0.502","0.501","0.238","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"24","19","101","false","false","normal","0.2375","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.602","0.599","0.599","0.238","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"25","19","101","true","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.496","0.494","0.494","0.25","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"26","19","101","false","false","normal","0.25","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.601","0.598","0.598","0.25","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"27","19","101","true","false","normal","0.2625","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.494","0.492","0.492","0.263","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"28","19","101","false","false","normal","0.2625","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.601","0.598","0.598","0.263","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"29","19","101","true","false","normal","0.275","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.493","0.491","0.491","0.275","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"30","19","101","false","false","normal","0.275","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.6","0.597","0.597","0.275","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"22","19","101","false","false","normal","0.225","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.603","0.6","0.6","0.225","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"31","19","101","true","false","normal","0.2875","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.493","0.491","0.491","0.288","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"32","19","101","false","false","normal","0.2875","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.599","0.596","0.596","0.288","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"33","19","101","true","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.493","0.491","0.491","0.3","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"34","19","101","false","false","normal","0.3","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.599","0.596","0.596","0.3","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"35","19","101","true","false","normal","0.3125","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.491","0.489","0.489","0.313","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"37","19","101","true","false","normal","0.325","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.489","0.487","0.486","0.325","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"36","19","101","false","false","normal","0.3125","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.599","0.596","0.596","0.313","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"45","19","101","true","false","normal","0.375","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","39","0","0.013","0","0.375","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"40","19","101","false","false","normal","0.3375","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.598","0.595","0.595","0.338","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"39","19","101","true","false","normal","0.3375","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.485","0.483","0.483","0.338","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"47","19","101","true","false","normal","0.3875","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","26","0","0.014","0","0.388","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"49","19","101","true","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","26","0","0.012","0","0.4","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0","<RuntimePrimitiveException>","<RuntimePrimitiveException>"
"41","19","101","true","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.486","0.484","0.483","0.35","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"42","19","101","false","false","normal","0.35","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.597","0.594","0.595","0.35","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"43","19","101","true","false","normal","0.3625","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.477","0.475","0.475","0.363","0","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"44","19","101","false","false","normal","0.3625","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.597","0.594","0.594","0.363","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"38","19","101","false","false","normal","0.325","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.598","0.595","0.596","0.325","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"46","19","101","false","false","normal","0.375","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.596","0.593","0.593","0.375","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"48","19","101","false","false","normal","0.3875","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.595","0.592","0.592","0.388","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"50","19","101","false","false","normal","0.4","0","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.594","0.591","0.592","0.4","0","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"52","19","101","false","false","normal","0.1","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.613","0.588","0.536","0.1","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.426","0.013","0.105"
"51","19","101","true","false","normal","0.1","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.488","0.486","0.486","0.098","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"53","19","101","true","false","normal","0.1125","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.494","0.492","0.492","0.11","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"54","19","101","false","false","normal","0.1125","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.635","0.611","0.557","0.112","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.426","0.013","0.105"
"56","19","101","false","false","normal","0.125","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.628","0.598","0.539","0.125","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.428","0.013","0.105"
"57","19","101","true","false","normal","0.1375","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.499","0.497","0.497","0.135","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"58","19","101","false","false","normal","0.1375","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.626","0.598","0.54","0.137","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.428","0.013","0.105"
"60","19","101","false","false","normal","0.15","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.624","0.598","0.542","0.15","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.428","0.013","0.105"
"59","19","101","true","false","normal","0.15","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.499","0.497","0.497","0.148","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"61","19","101","true","false","normal","0.1625","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.498","0.496","0.496","0.16","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"62","19","101","false","false","normal","0.1625","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.608","0.605","0.605","0.162","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"55","19","101","true","false","normal","0.125","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.496","0.494","0.494","0.123","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"63","19","101","true","false","normal","0.175","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.499","0.497","0.497","0.173","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"64","19","101","false","false","normal","0.175","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.607","0.604","0.604","0.175","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"65","19","101","true","false","normal","0.1875","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.5","0.497","0.497","0.185","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"66","19","101","false","false","normal","0.1875","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.605","0.602","0.602","0.187","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"67","19","101","true","false","normal","0.2","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.5","0.498","0.497","0.198","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"68","19","101","false","false","normal","0.2","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.604","0.601","0.601","0.2","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"69","19","101","true","false","normal","0.2125","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.5","0.498","0.498","0.21","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"71","19","101","true","false","normal","0.225","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.5","0.498","0.497","0.223","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"72","19","101","false","false","normal","0.225","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.603","0.6","0.601","0.225","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"73","19","101","true","false","normal","0.2375","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.501","0.499","0.499","0.235","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"74","19","101","false","false","normal","0.2375","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.602","0.599","0.599","0.237","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"75","19","101","true","false","normal","0.25","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.492","0.49","0.49","0.248","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"76","19","101","false","false","normal","0.25","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.602","0.599","0.599","0.25","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"77","19","101","true","false","normal","0.2625","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.492","0.49","0.49","0.26","0.024","0.792","0.09","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
"70","19","101","false","false","normal","0.2125","0.025","normal","0.8","0.1","true","individual","normal","0.25","0","10","0.05","0.95","0.1","true","2","true","false","1","true","50","true","1","1","1","HK","365","1.0E-5","400","false","1","364","0.605","0.602","0.602","0.212","0.023","0.791","0.094","0","0","101","0","0","0","0","0","0","0","0.289","0","0.906"
